2675,Output,Contains the accumulated input layer(s).,Any,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,Output: Satellite CD Layers,"Specifies the list of channels to receive the data from the CD. For each input channel specified, an output channel must be specified.",Integer,LiteralData,OutputOrbit: Output satellite orbital ephemeris segment,Specifies output segment to receive the satellite orbital ephemeris data.,ORB,GeoData,Output: Satellite GCP Layer: Output satellite GCP segment,Specifies output segment to receive the ground control points.,GCP,GeoData,OutputARR: Output SAR-specific array segments,"Specifies output segment to receive the SAR offset, gain, incident angle, and SRGR segments.",ARR,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,
2719,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file will be created automatically and must not already exist.,Raster,Raster,Output Orbit: Output file name,Specifies the output satellite orbital ephemeris layer(s) that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,Output: Output file name,The name of the PCIDSK file to which the processed data will be written. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,The name of the output file that will contain the output layer of the satellite orbital ephemeris.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the output satellite orbital ephemeris layer(s) that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output: satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,Output: Output file name,Specifies the name of the PCIDSK file that will contain the output satellite CDFORMOSAT image layer(s). This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,Output: Output file name,Specifies the name of the PCIDSK file that will contain the output satellite CDIKONOS image layer(s). This file will be created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the name of the output file that will contain the output satellite satellite orbital ephemeris layer.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,Output: Output file name,Specifies the name of the PCIDSK file that will receive the processed data. This file is automatically created and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the output satellite orbital ephemeris layer that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,Output: Output file name,Specifies the name of the output file that will receive the processed data. The output file is created automatically and must not already exist.,Raster,Raster,OutputOrbit: Output satellite orbital ephemeris layer,Specifies the output satellite orbital ephemeris layer that will receive the orbital information.,ORB,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
