WhiteBox,2.4.0,ContoursFromPoints,2143,"This tool creates a contour coverage from a set of input points (--input). The user must specify the contour
interval (--interval) and optionally, the base contour value (--base). The degree to which contours are
smoothed is controlled by the Smoothing Filter Size parameter (--smooth). This value, which determines
the size of a mean filter applied to the x-y position of vertices in each contour, should be an odd integer value, e.g.
3, 5, 7, 9, 11, etc. Larger values will result in smoother contour lines.","i, --input",Input vector points file,field,Input field name in attribute table,use_z,Use the 'z' dimension of the Shapefile's geometry instead of an attribute field?,"o, --output",Output vector lines file,max_triangle_edge_length,Optional maximum triangle edge length; triangles larger than this size will not be gridded,interval,Contour interval,base,Base contour height,smooth,"Smoothing filter size (in num. points), e.g. 3, 5, 7, 9, 11",,,,,,,,,,
WhiteBox,2.4.0,ContoursFromRaster,2144,"This tool can be used to create a vector contour coverage from an input raster surface model (--input), such as a digital
elevation model (DEM). The user must specify the contour interval (--interval) and optionally, the base contour value (--base).
The degree to which contours are smoothed is controlled by the Smoothing Filter Size parameter (--smooth). This value, which
determines the size of a mean filter applied to the x-y position of vertices in each contour, should be an odd integer value, e.g.
3, 5, 7, 9, 11, etc. Larger values will result in smoother contour lines. The tolerance parameter (--tolerance) controls the
amount of line generalization. That is, vertices in a contour line will be selectively removed from the line if they do not result in
an angular deflection in the line's path of at least this threshold value. Increasing this value can significantly decrease the size
of the output contour vector file, at the cost of generating straighter contour line segments.","i, --input",Input surface raster file,"o, --output",Output vector contour file,interval,Contour interval,base,Base contour height,smooth,"Smoothing filter size (in num. points), e.g. 3, 5, 7, 9, 11",tolerance,"Tolerance factor, in degrees (0-45); determines generalization level",,,,,,,,,,,,,,
WhiteBox,2.4.0,ConvergenceIndex,2145,"This tool calculates the convergence index (C), described by Koethe and Lehmeier (1996) and Kiss (2004), for each grid cell
in an input digital elevation model (DEM). The convergence index measures the average amount by which the aspect value
of each of the eight neighbours in a 3x3 kernel deviates from an aspect aligned with the direction towards
the center cell. As such the index measures the degree to which the surrounding topography converges on the center cell.","d, --dem",Name of the input DEM raster file; must be depressionless,output,Name of the output raster file,zfactor,Optional multiplier for when the vertical and horizontal units are not the same,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,Curvedness,2146,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --dem",Name of the input raster DEM file,"o, --output",Name of the output raster image file,log,Display output values using a log-scale,zfactor,Z conversion factor,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,DemVoidFilling,2147,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).",dem,"Name of the input raster DEM file, containing the void areas",fill,"Name of the input fill DEM file, containing the values used to fill the void areas in the other DEM","o, --output",Name of the output void-filled DEM file,mean_plane_dist,"Distance to void edge at which the mean-plane value is used as an offset, measured in grid cells",edge_treatment,"How should void-edge cells be treated? Options include 'use DEM' (default), 'use Fill', 'average'",weight_value,Weight value used for IDW interpolation (default is 2.0),,,,,,,,,,,,,,
WhiteBox,2.4.0,DevFromMeanElev,2148,"This tool can be used to calculate the difference between the elevation of each grid
cell and the mean elevation of the centering local neighbourhood, normalized by standard
deviation. Therefore, this index of topographic residual is essentially equivalent to a
local z-score. This attribute measures the relative topographic position as a fraction of
local relief, and so is normalized to the local surface roughness. DevFromMeanElev
utilizes an integral image approach (Crow, 1984) to ensure highly efficient filtering that
is invariant with filter size.","i, --input, --dem",Input raster DEM file,"o, --output",Output raster file,filterx,Size of the filter kernel in the x-direction,filtery,Size of the filter kernel in the y-direction,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,DiffFromMeanElev,2149,"This tool can be used to calculate the difference between the elevation of each grid
cell and the mean elevation of the centering local neighbourhood. This is similar to what a high-pass
filter calculates for imagery data, but is intended to work with DEM data instead. This attribute
measures the relative topographic position. DiffFromMeanElev
utilizes an integral image approach (Crow, 1984) to ensure highly efficient filtering that
is invariant with filter size.","i, --input, --dem",Input raster DEM file,"o, --output",Output raster file,filterx,Size of the filter kernel in the x-direction,filtery,Size of the filter kernel in the y-direction,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,DifferenceCurvature,2150,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --dem",Name of the input raster DEM file,"o, --output",Name of the output raster image file,log,Display output values using a log-scale,zfactor,Z conversion factor,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,DirectionalRelief,2151,"This tool calculates the relief for each grid cell in a digital elevation model (DEM) in a specified direction.
Directional relief is an index of the degree to which a DEM grid cell is higher or lower than its surroundings.
It is calculated by subtracting the elevation of a DEM grid cell from the average elevation of those cells which
lie between it and the edge of the DEM in a specified compass direction. Thus, positive values indicate that a
grid cell is lower than the average elevation of the grid cells in a specific direction (i.e. relatively sheltered),
whereas a negative directional relief indicates that the grid cell is higher (i.e. relatively exposed). The
algorithm is based on a modification of the procedure described by Lapen and Martz (1993). The modifications
include: (1) the ability to specify any direction between 0-degrees and 360-degrees (--azimuth), and (2) the ability to use
a distance-limited search (--max_dist), such that the ray-tracing procedure terminates before the DEM edge is
reached for longer search paths. The algorithm works by tracing a ray from each grid cell in the direction of
interest and evaluating the average elevation along the ray. Linear interpolation is used to estimate the elevation
of the surface where a ray does not intersect the DEM grid precisely at one of its nodes. The user must specify the
name of an input DEM raster file, the output raster name, and a hypothetical wind direction. Furthermore, the user
is able to constrain the maximum search distance for the ray tracing. If no maximum search distance is specified,
each ray will be traced to the edge of the DEM. The units of the output image are the same as the input DEM.","i, --dem",Input raster DEM file,"o, --output",Output raster file,azimuth,Wind azimuth in degrees,max_dist,Optional maximum search distance (unspecified if none; in xy units),,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,DownslopeIndex,2152,"This tool can be used to calculate the downslope index described by Hjerdt et al. (2004).
The downslope index is a measure of the slope gradient between a grid cell and some
downslope location (along the flowpath passing through the upslope grid cell) that
represents a specified vertical drop (i.e. a potential head drop). The index has been
shown to be useful for hydrological, geomorphological, and biogeochemical applications.","i, --dem",Input raster DEM file,"o, --output",Output raster file,drop,Vertical drop value (default is 2.0),out_type,"Output type, options include 'tangent', 'degrees', 'radians', 'distance' (default is 'tangent')",,,,,,,,,,,,,,,,,,
